trial_type,score,latency,match
genuine,0.72983717918396,1.9897921085357666,True
genuine,0.6514014005661011,0.8974227905273438,True
genuine,0.6469935774803162,0.9416532516479492,True
genuine,0.7493112087249756,1.3452394008636475,True
genuine,0.6400623321533203,2.6330857276916504,True
genuine,0.7479405403137207,0.8636517524719238,True
genuine,0.8521116375923157,0.8163540363311768,True
genuine,0.5657027363777161,0.8295068740844727,True
genuine,0.5413782596588135,0.8607645034790039,True
genuine,0.0,0.5792355537414551,False
genuine,0.6451226472854614,0.79880690574646,True
genuine,0.6740536689758301,0.8007926940917969,True
genuine,0.5817592144012451,0.8015494346618652,True
genuine,0.6545242667198181,0.7752285003662109,True
genuine,0.6790076494216919,0.8415846824645996,True
genuine,0.8287194967269897,0.8375070095062256,True
genuine,0.6555736064910889,0.8587875366210938,True
genuine,0.6484778523445129,0.9833745956420898,True
genuine,0.6312366724014282,0.9946150779724121,True
genuine,0.511052131652832,1.2206974029541016,True
genuine,0.7057657241821289,1.2714171409606934,True
genuine,0.7412829399108887,0.9857461452484131,True
genuine,0.06586207449436188,1.0664005279541016,False
genuine,0.49826285243034363,0.9216451644897461,True
genuine,0.5856786966323853,0.954047679901123,True
genuine,0.6173555850982666,1.2420949935913086,True
genuine,0.7456846833229065,0.9441919326782227,True
genuine,0.7204345464706421,0.9104599952697754,True
genuine,0.4583887457847595,0.9463629722595215,True
genuine,0.6010777950286865,1.0280265808105469,True
genuine,0.6931326985359192,0.9697329998016357,True
genuine,0.6667755842208862,0.8561604022979736,True
genuine,0.7022356390953064,0.9120781421661377,True
genuine,0.6797608137130737,0.9414479732513428,True
genuine,0.4860560894012451,0.907644510269165,True
genuine,0.5867029428482056,0.9063904285430908,True
genuine,0.7602416276931763,0.9374911785125732,True
genuine,0.7255760431289673,0.8735144138336182,True
genuine,0.7001405954360962,0.9683144092559814,True
genuine,0.7295486330986023,0.9409050941467285,True
genuine,0.16189423203468323,1.1487398147583008,False
genuine,0.6622706651687622,0.9255423545837402,True
genuine,0.6509190797805786,0.9033148288726807,True
genuine,0.6567240357398987,0.9400804042816162,True
genuine,0.6870710849761963,0.8912868499755859,True
genuine,0.45516568422317505,0.813697338104248,True
genuine,0.7885356545448303,0.9706864356994629,True
genuine,0.6887051463127136,0.9031894207000732,True
genuine,0.6029900312423706,0.980745792388916,True
genuine,0.41399526596069336,0.9676945209503174,True
genuine,0.27772507071495056,0.910449743270874,False
genuine,0.562795877456665,0.9299492835998535,True
genuine,0.8422591686248779,0.9276995658874512,True
genuine,0.6891676187515259,0.8761849403381348,True
genuine,0.7389590740203857,0.8947875499725342,True
genuine,0.7697636485099792,0.9326491355895996,True
genuine,0.7708176970481873,1.1918613910675049,True
genuine,0.4259825348854065,0.9389824867248535,True
genuine,0.650288462638855,0.9158663749694824,True
genuine,0.5543150901794434,0.9414699077606201,True
genuine,0.7960509061813354,1.1678690910339355,True
genuine,0.6953847408294678,0.937506914138794,True
genuine,0.6792657375335693,0.8593730926513672,True
genuine,0.6925106048583984,0.9692211151123047,True
genuine,0.7158563137054443,0.8319475650787354,True
genuine,0.7684792876243591,0.9082715511322021,True
genuine,0.5874529480934143,0.9014377593994141,True
genuine,0.7473446726799011,1.1856346130371094,True
genuine,0.6987412571907043,0.9246106147766113,True
genuine,0.7779561281204224,0.9043536186218262,True
genuine,0.8842204809188843,0.9207680225372314,True
genuine,0.6888928413391113,0.9502050876617432,True
